result,margin,team1,team2,homeOrAway,ground,date,month,year,period,numberOfmatches,country
Lost,5 wickets,Sri Lanka,England,Away,Dambulla,2001/03/23,Mar,2001,Mar 2001,1,England
Lost,66 runs,Sri Lanka,England,Away,Colombo (RPS),2001/03/25,Mar,2001,Mar 2001,1,England
Lost,10 wickets,Sri Lanka,England,Away,Colombo (SSC),2001/03/27,Mar,2001,Mar 2001,1,England
Lost,108 runs,England,Pakistan,Home,Birmingham,2001/06/07,Jun,2001,Jun 2001,1,England
Lost,5 wickets,England,Australia,Home,Bristol,2001/06/10,Jun,2001,Jun 2001,1,England
Lost,2 runs,England,Pakistan,Home,"Lord's",2001/06/12,Jun,2001,Jun 2001,1,England
Lost,125 runs,England,Australia,Home,Manchester,2001/06/14,Jun,2001,Jun 2001,1,England
Lost,,England,Pakistan,Home,Leeds,2001/06/17,Jun,2001,Jun 2001,1,England
Lost,8 wickets,England,Australia,Home,The Oval,2001/06/21,Jun,2001,Jun 2001,1,England
Won,5 wickets,Zimbabwe,England,Away,Harare,2001/10/03,Oct,2001,Oct 2001,1,England
Won,8 wickets,Zimbabwe,England,Away,Harare,2001/10/06,Oct,2001,Oct 2001,1,England
Won,4 wickets,Zimbabwe,England,Away,Harare,2001/10/07,Oct,2001,Oct 2001,1,England
Won,70 runs,Zimbabwe,England,Away,Bulawayo,2001/10/10,Oct,2001,Oct 2001,1,England
Won,7 wickets,Zimbabwe,England,Away,Bulawayo,2001/10/13,Oct,2001,Oct 2001,1,England
Lost,22 runs,India,England,Away,Kolkata,2002/01/19,Jan,2002,Jan 2002,1,England
Won,16 runs,India,England,Away,Cuttack,2002/01/22,Jan,2002,Jan 2002,1,England
Lost,4 wickets,India,England,Away,Chennai,2002/01/25,Jan,2002,Jan 2002,1,England
Lost,8 wickets,India,England,Away,Kanpur,2002/01/28,Jan,2002,Jan 2002,1,England
Won,2 runs,India,England,Away,Delhi,2002/01/31,Jan,2002,Jan 2002,1,England
Won,5 runs,India,England,Away,Mumbai,2002/02/03,Feb,2002,Feb 2002,1,England
Lost,4 wickets,New Zealand,England,Away,Christchurch,2002/02/13,Feb,2002,Feb 2002,1,England
Lost,155 runs,New Zealand,England,Away,Wellington,2002/02/16,Feb,2002,Feb 2002,1,England
Won,43 runs,New Zealand,England,Away,Napier,2002/02/20,Feb,2002,Feb 2002,1,England
Won,33 runs,New Zealand,England,Away,Auckland,2002/02/23,Feb,2002,Feb 2002,1,England
Lost,5 wickets,New Zealand,England,Away,Dunedin,2002/02/26,Feb,2002,Feb 2002,1,England
Won,44 runs,England,Sri Lanka,Home,Nottingham,2002/06/27,Jun,2002,Jun 2002,1,England
Lost,6 wickets,England,India,Home,"Lord's",2002/06/29,Jun,2002,Jun 2002,1,England
Won,3 wickets,England,Sri Lanka,Home,Leeds,2002/07/02,Jul,2002,Jul 2002,1,England
N/R,-,England,India,Home,Chester-le-Street,2002/07/04,Jul,2002,Jul 2002,1,England
Lost,23 runs,England,Sri Lanka,Home,Manchester,2002/07/07,Jul,2002,Jul 2002,1,England
Won,64 runs,England,India,Home,The Oval,2002/07/09,Jul,2002,Jul 2002,1,England
Lost,2 wickets,England,India,Home,"Lord's",2002/07/13,Jul,2002,Jul 2002,1,England
Won,108 runs,England,Zimbabwe,Home,Colombo (RPS),2002/09/18,Sep,2002,Sep 2002,1,England
Lost,8 wickets,England,India,Home,Colombo (RPS),2002/09/22,Sep,2002,Sep 2002,1,England
Lost,7 wickets,Australia,England,Away,Sydney,2002/12/13,Dec,2002,Dec 2002,1,England
Lost,89 runs,Australia,England,Away,Melbourne,2002/12/15,Dec,2002,Dec 2002,1,England
Won,43 runs,England,Sri Lanka,Home,Brisbane,2002/12/17,Dec,2002,Dec 2002,1,England
Won,95 runs,England,Sri Lanka,Home,Perth,2002/12/20,Dec,2002,Dec 2002,1,England
Lost,7 runs,Australia,England,Away,Hobart,2003/01/11,Jan,2003,Jan 2003,1,England
Lost,31 runs,England,Sri Lanka,Home,Sydney,2003/01/13,Jan,2003,Jan 2003,1,England
Won,19 runs,England,Sri Lanka,Home,Adelaide,2003/01/17,Jan,2003,Jan 2003,1,England
Lost,4 wickets,Australia,England,Away,Adelaide,2003/01/19,Jan,2003,Jan 2003,1,England
Lost,10 wickets,Australia,England,Away,Sydney,2003/01/23,Jan,2003,Jan 2003,1,England
Lost,5 runs,Australia,England,Away,Melbourne,2003/01/25,Jan,2003,Jan 2003,1,England
Lost,,Zimbabwe,England,Away,Harare,2003/02/13,Feb,2003,Feb 2003,1,England
Won,6 wickets,England,Netherlands,Home,East London,2003/02/16,Feb,2003,Feb 2003,1,England
