country,avgRunsPerWicketBowling,avgRunsPerSixBallsBowling,numberOfTeamInningsBowling,highestTeamScoreBowling,lowestCompletedScoreBowling,matchesPlayed,matchesWon,matchesLost,matchesTied,matchesWithNoResult,winToLossRatio,avgRunsPerWicketBatting,avgRunsPerSixBallsBatting,numberOfTeamInningsBatting,highestTeamScoreBatting,lowestCompletedScoreBatting
England,746,375,334,9,28,1.122,31.10,4.91,738,481,86,30.41,4.81,738,398,45
Australia,949,575,331,9,34,1.737,34.14,5.01,939,434,70,27.28,4.69,942,481,45
South Africa,625,385,216,6,18,1.782,35.76,5.11,622,439,69,27.02,4.75,615,434,43
West Indies,822,401,381,10,30,1.052,30.20,4.78,811,389,54,29.54,4.69,812,439,43
New Zealand,772,351,374,7,40,0.938,29.21,4.82,757,402,64,29.86,4.78,763,408,69
India,987,513,424,9,41,1.209,33.77,5.06,975,418,54,30.74,4.95,974,438,58
Pakistan,927,486,413,8,20,1.176,30.65,4.83,926,399,43,29.08,4.75,914,444,64
Sri Lanka,852,389,421,5,37,0.923,29.53,4.91,836,443,43,30.98,4.93,843,414,35
Zimbabwe,529,138,373,7,11,0.369,25.31,4.51,525,351,35,35.53,5.05,527,418,58
Bermuda,35,7,28,0,0,0.250,21.68,4.10,35,275,78,35.10,5.29,35,413,91
Netherlands,80,31,45,1,3,0.688,25.76,4.54,79,315,80,31.37,5.09,80,443,67
Bangladesh,376,128,241,0,7,0.531,25.71,4.59,373,333,58,34.07,5.10,375,391,44
Kenya,154,42,107,0,5,0.392,23.01,4.25,151,347,69,34.07,4.94,154,398,69
Namibia,14,5,9,0,0,0.555,21.66,4.53,14,324,45,32.77,5.21,14,340,81
Ireland,156,67,78,3,8,0.858,26.89,4.80,153,331,77,30.25,4.98,151,411,91
Scotland,115,42,66,1,6,0.636,25.38,4.62,113,371,68,31.53,5.10,113,365,63
Afghanistan,126,59,63,1,3,0.936,26.42,4.73,125,338,58,27.19,4.71,123,417,54
